severity,category,workflow,surface_or_job,id,title,affects,what_i_did,what_i_saw,evidence,why_it_matters,suggestion
P1,layout,A1-walk-core,insights,insights-mindmap-supergroups-label-clipped,"The mind-map's ""Super-groups"" zoom-level button renders as unreadable 1-2 character fragments at every viewport tested",,"Port 8011, themes ink, lang en. Visually inspected the ""Associated keywords (mind-map)"" control row on Explore at 375px, 1440px and 1920px, then read app.css:1410-1414 and index.html:1158-1177 to find the mechanism.","The third segmented button in #mm-levels (""Keywords"" | ""Families"" | ""Super-groups"") renders as a barely-visible ""S"" over ""g"" fragment, squeezed against the adjacent Mind-map/Word-cloud toggle, at ALL three viewports — not a responsive-breakpoint issue. Root cause: `.seg-toggle button { flex:1 }` (app.css:1411) with no white-space:nowrap on the base class splits three labels of very different lengths into equal thirds; ""Super-groups"" (13 chars, containing a hyphen wrap point) is forced to wrap and then gets clipped because #mm-levels itself is squeezed inside one `.row` alongside four other controls (Mind-map/Word-cloud toggle, Period select, Text-size slider, Enlarge button — index.html:1158-1177). The button carries no `title` attribute, so there is no hover fallback to recover the label either.","/home/user/oo-ui/wf-a1/insights/insights-01-initial.png (1440px, baseline); /home/user/oo-ui/wf-a1/insights/viewport-wide-01-explore.png (1920px, same clipping); /home/user/oo-ui/wf-a1/insights/viewport-phone-05-fullpage.png (375px, ""Keyword Families S g Mind-map Word cloud"" row)","A user cannot tell what this third zoom-level button does — its own label is illegible and there is no tooltip fallback — on the app's single busiest surface, at any screen size. Per the file's own code comment (index.html:1151-1155) this exact #mm-kit component is also relocated into the Corpus/Analysis window's Mindmap subtab, so the same defect likely reproduces there (unverified this session, out of scope for Insights).",
P1,honesty,A1-walk-core,search,search-rtl-query-overmatches-across-languages,An Arabic-script query on the Search tab returns wrong results (English articles that don't contain the term) that disagree with what the surface's own Export produces for the identical query,,"Typed the Arabic word for 'elections' (الانتخابات) into #q with no other filters and clicked Search (port 8012, ink theme, en locale). Also exported the identical query string via the surface's own 'Export JSON' → GET /api/articles/export?query=...&format=json, and inspected the `content` field of the returned articles for the literal Arabic substring.","The Search tab reported '216 result(s)' and visibly listed English-language rows that plainly do not contain the Arabic string — e.g. 'Weekly Coastal Digest — July 10' (source: Weekly Coastal Digest, lang=en) and 'Elections coverage (edition 1) — en'. The count (216) is suspiciously close to the plain-English query 'elections' (215), suggesting the boolean-query tokenizer silently falls back to a broad/incorrect match when it cannot parse non-Latin-script terms as recognised word tokens. By contrast, exporting the SAME query string through /api/articles/export (a separate backend route) returned exactly 28 articles, every one language=ar and containing the literal substring الانتخابات verbatim in its content — i.e. the correct answer.","/home/user/oo-ui/wf-a1/search/search-06-query-ar.png (216 results, visible English rows 'Weekly Coastal Digest', 'Elections coverage (edition 1) — en'); live verification: `fetch('/api/articles/export?query=' + encodeURIComponent('الانتخابات') + '&format=json')` → `{""count"": 28, ...}` with every sampled article's `hasTerm: true` and `language: ""ar""` (captured inline in this session, not saved to a","The Search tab is the app's stated single source of truth for 'what matches this query,' and its own Export button (right next to it, same query, same filters) produces a materially different, contradictory result set (28 correct vs 216 wrong) for the exact same input. A user who searches, sees 216, and exports expecting ~216 rows gets a 28-row file with no warning of the discrepancy — a data-integrity violation of the project's own 'honesty by construction' principle, and specifically worse tha",
P1,i18n,A1-walk-core,search,search-cjk-query-zero-results,Chinese-script substrings that literally appear in the corpus's own zh-language articles return zero results,,"Set the Language filter to zh with an empty query to read out real zh article body text, then queried literal substrings copied verbatim from that text (开源, 一家, 合作社, 软件) with no filters.","Every one of those queries returned '0 result(s)' / 'No matches.', even though a generic query like 'coverage' (an English word that only appears in the zh articles' English-language TITLE suffix, e.g. 'Technology coverage (edition 14) — zh') correctly returns those same articles among 440 results. The search index/tokenizer appears not to index CJK body text as searchable tokens at all — it can only find zh articles via their English title words.","/home/user/oo-ui/wf-a1/search/search-05-query-zh.png (0 results for 开源); walk1.py console output in this session: `开源 -> 0`, `一家 -> 0`, `合作社 -> 0`, `软件 -> 0`, versus `coverage -> 440` (includes the same zh rows by title).","The seeded corpus explicitly includes Chinese content and the brief calls out zh as a language this surface must be tested against. A user searching in Chinese for content they know exists in their own corpus gets a confident, honest-looking '0 result(s) / No matches.' — which is worse than an error, because there is no signal that this is a script-handling limitation rather than a genuine absence of matching articles. Combined with the Arabic over-match above, non-Latin-script querying fails in",
P1,honesty,A1-walk-core,search,search-boolean-not-only-noop,A standalone 'NOT term' query silently returns everything instead of excluding matches — exactly the syntax the search box's own placeholder advertises,,"Queried `NOT opinion` alone (no other terms), then queried `opinion` alone to establish the exclusion set, on the corpus of 453 total articles.","`opinion` alone correctly matched exactly 1 article. `NOT opinion` alone, which per the placeholder's own advertised syntax ('AND / OR / NOT') should exclude that 1 article and return 452, instead returned all 453 — i.e. the NOT operator with no preceding positive term is silently ignored rather than applied as an exclusion.","Measured counts this session: `opinion` → 1 result; `NOT opinion` → 453 results (= total corpus size, confirmed via the same session's baseline '453 result(s)' on initial load).","The query box's placeholder text is `(climate OR energy) AND policy NOT opinion` — the app is actively teaching users this exact syntax. A user who tries the simpler standalone form (`NOT badterm`) to filter out noise gets no filtering at all, with no error or warning that the exclusion did not take effect — a silent violation of the honesty-by-construction principle applied to the app's own advertised query language.",
P1,layout,A1-walk-core,search,search-phone-filter-row-overlap,"At 375px width the Source / Language / Time range filter row collapses into overlapping, unreadable text",,"Re-ran the settled Search surface at 375x812 (phone viewport), port 8012, ink theme, en locale, and screenshotted the filter section.","The three column labels 'Source', 'Language', 'Time range' render on top of one another as garbled overlapping text reading approximately 'SourdangriTage range', and the Source/Language text input boxes are squeezed to unusably narrow (~24px) empty boxes to the left of the still-full-width From/To date inputs in the same row. The rest of the page (action buttons, results) wraps and stacks reasonably at this width; this one row does not.","/home/user/oo-ui/wf-a1/search/search-viewport-phone-375x812.png (top filter section, ~y=280-330) and search-viewport-phone-scrolled.png (same overlap visible after scrolling).","This is literally unreadable label text on the single densest-input surface in the app, at a completely standard phone width. The brief specifically flags that there is no layout media query between 900px and desktop; this shows the gap is not confined to that band — the filter row has no working narrow-width treatment at all below wherever its fixed 3-column grid stops fitting, which happens well before 375px is reached from either direction (only 375px and 1920px were measured per the brief; t",
P1,a11y,A1-walk-core,search,search-tab-order-buries-form-behind-chrome,"Keyboard Tab order visits all 12 sidebar items, 6 top-bar controls, and an orphaned slider handle before ever reaching the Search tab's own query box",,"From a fresh load of the settled Search surface, blurred focus and pressed Tab 28 times in sequence, recording the focused element, its visible focus ring, and viewport position at every step.","Tab stops 1-20 are, in order: the skip-link, the 11 left-nav items (Home…Library), Settings, the sidebar-collapse button, one lone `<div role=""slider"">` (the time-range slider's .ts-h-from/.ts-h-to handle — see the separate ARIA finding), the task-manager button, the rate-toggle, the network/airplane toggle, the language switcher, an unlabeled button, and the shutdown button. Only at stop 21 does focus finally reach `#q`, the Search tab's own primary input, followed by #f-source, #f-lang, and the four date inputs at stops 22-28. A keyboard-only user must press Tab 20 times through unrelated app chrome before reaching the visible page's own content on this surface.","/home/user/oo-ui/wf-a1/search/probe-07-keyboard-doubleclick-postdrill.json (`tab_sequence`, full 28-step trace with ids and text).","The sidebar and top bar are shared chrome present on every tab; a keyboard user re-entering or switching to Search pays this 20-tab cost every time before touching the one input the surface exists for. On the most control-dense page in the app, this is the worst possible surface for that pattern to appear on.",
P1,a11y,A1-walk-core,search,search-inputs-no-focus-ring,"Text and date input fields on the search form have no visible keyboard-focus indicator, unlike every button on the same surface",,Same 28-step Tab trace as above; recorded computed `outline`/`box-shadow` for each focused element.,"Every BUTTON element in the trace (all 20 chrome buttons plus later ones) reports a visible `outline: solid 2px` (several additionally get a `box-shadow` ring on rate-toggle/net-toggle). Every INPUT element (#q, #f-source, #f-lang, and all 4 date inputs, stops 21-28) reports `outline: none 0px` and `box-shadow: none` — no visible focus indicator of any kind when tabbed to.",/home/user/oo-ui/wf-a1/search/probe-07-keyboard-doubleclick-postdrill.json — compare `visibleRing: true` for every button-tagged entry against `visibleRing: false` for every input-tagged entry (stops 21-28).,"WCAG 2.4.7 (Focus Visible) requires a visible indicator of keyboard focus; a keyboard-only user tabbing onto the query box, the source/language filters, or either date field has no visual confirmation of which field is about to receive their typing on the app's own primary search form.",
P1,a11y,A1-walk-core,search,search-timerange-slider-invalid-aria-values,"The time-range slider's ARIA value attributes are date strings, not numbers — invalid per the ARIA slider spec (axe: critical)",,"Ran axe-core (wcag2a/aa, wcag21a/aa, best-practice) against the settled Search surface, both on initial load and after interaction.","`aria-valid-attr-value` fires as a CRITICAL violation on both slider handles: `<div class=""ts-handle ts-h-from"" role=""slider"" tabindex=""0"" aria-label=""From"" aria-valuemin=""2021-09-08"" aria-valuemax=""2026-09-08"" aria-valuenow=""2021-09-08"" ...>` (and the mirrored `.ts-h-to` handle). The ARIA slider role requires `aria-valuemin`/`aria-valuemax`/`aria-valuenow` to be numbers; these are ISO date strings.","/home/user/oo-ui/wf-a1/search/probe-01-baseline.json and probe-07-keyboard-doubleclick-postdrill.json, `axe` array, id `aria-valid-attr-value`, impact `critical`, n=2, with the exact node HTML for both `.ts-h-from` and `.ts-h-to`.","A screen-reader user encountering the time-range slider gets no usable value announcement at all for either handle — the one date-range control on the surface that isn't a plain `<input type=date>` is effectively silent to assistive tech, on a control that gates every search's time scope.",
P1,visual,A2-walk-secondary,analyze,F1,Mindmap radial 'Map' view: overlapping/colliding word labels,,"Opened Analysis → Mindmap subtab (default 'Map' radial view) for the 'election' search, screenshotted at 1440x900, ink theme, then cropped the top-center cluster for close inspection.","The labels 'budget' and 'transport' physically overlap — the glyphs interleave and are hard to read as two separate words ('recordTransport'-looking merge); 'record' also nearly touches 'budget'. This is a genuine collision-avoidance failure in the radial label-placement algorithm, not a rendering artifact.","/home/user/oo-ui/wf-a2/analyze/sub-mindmap.png (full state) and /tmp/mindmap-crop.png (2x crop of the collision, region approx x:600-1200,y:420-620 of the 1440x900 screenshot)","The stated Mind-map rule is 'deterministic radial tree, no cross-tangle' — label legibility is part of that promise. A user cannot reliably read the two most central, highest-weight keywords in this view.",Add width-aware collision detection/nudging between adjacent arm labels (or increase minimum angular spacing when label pixel-widths would overlap at the chosen radius/text-size).
P1,honesty,A2-walk-secondary,custody,custody-2,The kill-switch-named-refusal for OpenTimestamps (the #14e corollary) is unreachable in this build because the opentimestamps library is not installed,,"Read src/custody/timestamp.py's ots_stamp() after observing GET /api/custody/settings report ots_available:false / ots_reason 'ModuleNotFoundError: No module named opentimestamps'. Confirmed live: POST /api/custody/anchor with provider='opentimestamps', consent:true returned instantly (43ms) with {""detail"":""OpenTimestamps is not installed (install the 'timestamping' extra).""}","ots_stamp()'s own comments state the kill-switch check at lines 223-228 (""The network kill switch is engaged (airplane mode) -- OpenTimestamps requires egress..."") exists specifically to satisfy the #14e corollary (name a kill-switch refusal as such). But the preceding `if not OTS_AVAILABLE` check at line 205 fires first and unconditionally in this environment, so the kill-switch-named message can never actually be produced here — not by the UI, not by a direct API call, not by any path this fixture can exercise.","curl -sS -m6 -X POST http://127.0.0.1:8014/api/custody/anchor -d '{""merkle_root"":""aaaa..."",""provider"":""opentimestamps"",""consent"":true}' -> 43ms, {""detail"":""OpenTimestamps is not installed (install the 'timestamping' extra).""}; source read of src/custody/timestamp.py lines 194-228","The honesty rule is explicit: 'An untested code path is not a pass... saying so is the finding.' The #14e corollary's actual code — the part that prevents a confusing generic failure message when airplane mode is what blocked the submission — has literally never been exercised in any of the 8010-8039 fixture instances, since none appear to ship the opentimestamps extra. If a future build installs the extra and the kill-switch is NOT actually engaged before the calendar submission attempt (e.g., ",
P1,contrast,A2-walk-secondary,custody,custody-3,"This audit's own contrast_failures() harness gives false positives on every element that paints its own opaque background — verified as a harness bug, not an app defect",,"Ran a.contrast_failures() on the settled custody panel (ink theme, 1440x900 and again at 375x812) and got 2 hits: 'Save custody settings' button (ratio 1.08) and 'a.skip-link' (ratio 1.0), both against need=4.5. Queried each element's OWN computed backgroundColor directly via getComputedStyle to check the harness's math.","Both elements have their OWN opaque background rgb(91,157,217) — a mid-light blue — with text color rgb(10,15,22). Manually computing WCAG contrast for near-black text on that blue gives ratio ~6.65 (comfortably AA-passing), not 1.08/1.0. The harness's backdrop() helper in oohelp.py explicitly excludes the queried element's own background ('anc.pop() // exclude el itself') and instead composites only the ANCESTOR chain's backgrounds — which for these two elements is the near-black page/panel background (rgb(20,24,31)/rgb(12,14,19)) that sits BEHIND them, not what's actually painted behind their text. This produces a false near-invisible-text verdict for any element that paints its own solid fill (buttons, pills, badges) across every surface, every theme.","/home/user/oo-ui/wf-a2/custody/contrast-settled.json, /home/user/oo-ui/wf-a2/custody/save-button-own-style.json ({""ownBg"":""rgb(91, 157, 217)"",""color"":""rgb(10, 15, 22)"",""parentBg"":""rgb(20, 24, 31)""}), /home/user/oo-ui/wf-a2/custody/skiplink-own-style.json (identical ownBg/color pair); oohelp.py backdrop() at the `anc.pop()` line","This project's own recorded honesty rule is 'score the composited colour, not the declared token' — ironically the shared audit harness itself violates the mirror-image of that rule: it scores the backdrop BEHIND a self-painted element instead of the element's own paint. Any sibling agent trusting a.contrast_failures() at face value across the other 15 surfaces will very likely file false P0/P1 contrast bugs against every solid button, pill, and badge in every one of the 17 themes. This is worth",
