file,chars,string
index.html,16,Leads to look at
index.html,16,Trend chart lens
index.html,16,imap.example.com
index.html,16,not legal advice
index.html,17,"After adding, use"
index.html,17,All Leads below ↓
index.html,17,Run P0 validation
index.html,17,"news, financial …"
index.html,18,is also available.
index.html,18,ollama.com/library
index.html,18,"weights A e.g. 4,1"
index.html,18,"weights B e.g. 1,1"
index.html,19,64-char SHA-256 hex
index.html,19,Bury signal (.json)
index.html,19,Emphasize languages
index.html,19,Major floor · min n
index.html,19,Qualify the backlog
index.html,19,Run page-size bench
index.html,19,e.g. j.doe@newsroom
index.html,19,flood OR inondation
index.html,20,Eurostat (SDMX-JSON)
index.html,20,Flood signal (.json)
index.html,20,Super-group curation
index.html,20,search the stoplist…
index.html,21,(where the number is)
index.html,21,/home/you/newsletters
index.html,21,FDR self-test (.json)
index.html,21,Human Rights Act 1998
index.html,21,Import a whole folder
index.html,21,e.g. Monetary figures
index.html,21,exact name (optional)
index.html,22,Continue in background
index.html,22,Entity family curation
index.html,22,Import documents (PDF)
index.html,23,Map producer (optional)
index.html,23,"To CREATE a backup, use"
index.html,23,"at\\s+([\\d.,]+)\\s*USD"
index.html,23,"countries e.g. ke,ng,br"
index.html,23,e.g. Russia–Ukraine war
index.html,24,(optional capture group)
index.html,24,(required for protected)
index.html,24,Rollup benchmark (.json)
index.html,24,"sources, tagged with the"
index.html,24,— use Import… at the top
index.html,25,Excluded keywords (yours)
index.html,25,Open Omniscience briefing
index.html,25,Stack overlapping stories
index.html,25,sends your topic query to
index.html,25,"— same place, same window"
index.html,26,Choose PDF files to import
index.html,26,"politics, markets, climate"
index.html,26,to find candidate outlets.
index.html,26,— surface variants grouped
index.html,27,Run IR eval over a gold set
index.html,27,Run perception-eval harness
index.html,27,See the built-in stoplist (
index.html,27,https://example.com/article
index.html,28,Checking the active backend…
index.html,28,Choose what to collect first
index.html,28,Preview lemmatization merges
index.html,28,https://example.com/feed.xml
index.html,29,This is a level (count/total)
index.html,29,the User Manual (law chapter)
index.html,29,words filtered automatically)
index.html,29,"— create, add, remove, delete"
index.html,30,Enrich source tags from corpus
index.html,30,Model (a Hugging Face repo id)
index.html,30,continuously and automatically
index.html,31,"vLLM (GPU, concurrent requests)"
index.html,32,Enrich source types (Wikidata) ↗
index.html,32,Lunar-correlation screen (.json)
index.html,32,backup passphrase (never stored)
index.html,32,https://example.org/calendar.ics
index.html,33,Discover new sources (Wikidata) ↗
index.html,33,https://exchange.example/quote/nd
index.html,34,"(comma-separated, quote the cell),"
index.html,34,socks5://127.0.0.1:9050 (e.g. Tor)
index.html,35,Collection speed (target / maximum)
index.html,35,Register cited domains as sources ↗
index.html,36,", never the authoritative source and"
index.html,38,"Page-size A/B bench (4K vs 16K, DB-10)"
index.html,38,— restore these via Import… at the top
index.html,39,Discover sources worldwide (Wikidata) ↗
index.html,40,"(AND / OR / NOT, ""phrases"", parentheses)"
index.html,40,— gathering families and groups together
index.html,41,save path e.g. /home/you/oo_gold_set.json
index.html,42,"/blank) are skipped, never stored as zero."
index.html,42,Adds every producer to your catalogue as a
index.html,42,Source-tag assignment -- progressive sweep
index.html,42,"e.g. inflation, Emmanuel Macron, Rio Tinto"
index.html,42,to filter the catalogue table below to it.
index.html,45,P0 data-safety validation (v0.2.0 acceptance)
index.html,45,"Scraping, source aggregation and crawling run"
index.html,47,Keyword triage -- progressive sweep (Section 8)
index.html,47,Turn continuous background collection on or off
index.html,48,Turns frequently-cited external domains into new
index.html,50,e.g. llama3.2:3b — any tag from ollama.com/library
index.html,51,— families by kind (zoom out); click one to zoom in
index.html,53,Who / where / when extraction (AI-derived candidates)
index.html,54,e.g. an AWQ/GPTQ-quantized Mistral-7B-Instruct repo id
index.html,56,backup destination dir (a separate empty folder / drive)
index.html,61,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DCOILWTICO
index.html,62,gold-set file path (see configs/ir_eval/gold_set.example.json)
index.html,65,Order by prominence (sources → magnitude → recency; else as Home)
index.html,67,extra + the Tesseract binary) it is read via OCR and clearly marked
index.html,68,Advanced (legacy) — collection is automatic; these are rarely needed
index.html,69,/path/on/this/machine — each run drops the new-articles delta as JSON
index.html,72,Legacy: batch ingest (collection is automatic — you shouldn't need this)
index.html,72,"{""pollster"":""…"",""sponsor"":""…"",""sample_size"":1000,""question_wording"":""…""}"
index.html,73,Legacy: manual ingest (collection is automatic — you shouldn't need this)
index.html,78,Collect these more often. Leave all off for an even rotation across languages.
index.html,93,staging dir (optional — default under the data dir; use an external drive for a large corpus)
index.html,120,Stop the running validation at its next safe point; the throwaway restore staging and any partial backup are cleaned up.
index.html,126,Optional full free-space overwrite after the wipe (defence-in-depth — the crypto-erase already makes the corpus unrecoverable)
index.html,127,at the top of this page — it works at any database size. This panel only RESTORES an older single-file backup (additive merge).
index.html,131,Check the backup's manifest signature and every volume + parity checksum without restoring anything — the live corpus is untouched.
index.html,140,"Point to a folder ON THIS MACHINE and every PDF under it is imported. Same local, zero-network path; already-imported documents are skipped."
index.html,140,Stop at the next safe point (between rebuild/bench phases); staged rebuilds are deleted and the partial report is honestly marked cancelled.
index.html,145,Write the graded queries as the exact ir_eval gold-set JSON to this server-side path (validated on save). Then point the IR-eval run below at it.
index.html,152,"A cadence preference — the emphasized languages are collected more often. It orders the rotation; it never stops the others (ordering, never exclusion)."
index.html,173,By default your app collects from every source. Focus your first collection on the themes you care about — you can widen or change all of this anytime in Settings → Collect.
index.html,180,"provenance class — the sources' sources. Metadata only: enabling one to actually scrape it stays your consented choice, and “cited” is a descriptive channel, never a quality score."
index.html,188,"Start the page-size A/B bench as a background job: rebuild at 4096 then 16384 bytes/page (each with the ruled auto_vacuum=INCREMENTAL), verify, bench, clean up. Cancellable between phases."
index.html,190,"person / org / location kinds await a future NER/gazetteer pass — the extractor does not yet assign them, so they are not offered here rather than shown as a fabricated, always-empty choice."
index.html,196,"(lower-trust — may contain recognition errors; the original PDF stays the source of truth), otherwise it is skipped with an honest reason. Re-importing the same document is skipped (deduplicated)."
index.html,205,Zero network: each PDF is read and its text extracted locally — nothing is ever fetched. A born-digital PDF uses its exact text layer. A scanned / image-only PDF has no text layer: if OCR is installed (the
index.html,226,"Run the S6.5 perception-eval harness against the currently active model -- the gate evidence this extraction sweep uses to decide which languages are safe to extract. Bounded (a small synthetic gold set); read-only, no writes."
index.html,231,"Import your own PDF files into your corpus — the text is extracted and each document is searched, analysed and correlated like any article, and kept as a separate, filterable source (""Imported PDFs"") so it never blurs with the web."
index.html,237,"Prove the Benjamini-Hochberg FDR correction (the multiple-testing spine under the flood/bury and lunar screens) on hand-computed fixtures — pass/fail per case, so a regression reddens both this export and CI. No DB, no network, no score."
index.html,254,"whenever collection is on and you are online — RSS feeds, recursive crawl, markets, laws and Wikipedia, every source. There is nothing to schedule or program; just switch it on. (It pauses itself if the machine runs low on memory and resumes on its own.)"
index.html,260,"""all"" aggregates every non-term kind (server-side, before any limit). person / org / location kinds await a future NER/gazetteer pass — the extractor does not yet assign them, so they are not offered here rather than shown as a fabricated, always-empty choice."
index.html,264,"A level (a count or total like population or GDP) is shown as proportional symbols, never colour — colouring a level makes a big country look like 'more' just for being big. Tick this for a count/total; leave unticked for a rate / ratio / % / per-capita indicator."
index.html,269,"Register a domain cited by ≥2 DISTINCT sources as a new DISABLED source (metadata only — never fetched until you enable it). Independence is counted by distinct sources, not article count; commerce/social storefronts are excluded and existing outlets are alias-deduped."
index.html,273,"Colour a world map by this indicator (series id above). Only areas sharing the same unit / base year / seasonal adjustment are coloured; an area on a different basis is shown as no-data, never recoloured onto one scale. A level is shown as proportional symbols, not colour."
index.html,273,"These are the automatic multilingual filter words (function words like the·you·not across your corpus languages). They are curated and language-scoped, so this view is read-only — the toggle above turns the whole list on or off. Search it to see whether a term is filtered."
index.html,276,"Screen the top keywords' daily coverage against the moon's illuminated fraction, FDR-corrected — a survivor beat multiple-testing, never a bare significant p. Correlation is not causation; the common honest outcome is that nothing survives. Counts + statistics only, no score."
index.html,281,"Sample your top corpus keywords + their live search results, then grade each result 0/1/2 (0 irrelevant · 1 relevant · 2 highly relevant; press 0/1/2 on a focused row). Nothing is invented — search history is not stored. Save writes the exact ir_eval gold set the run below scores."
index.html,282,"Sources flooding a single topic far above their OWN history (the flood half of manipulation-pattern card #4). A two-proportion z-test vs the source's own prior share; volume is not importance, so a genuinely big story legitimately dominates. Counts + statistics only, never a score."
index.html,282,"Toggle the progressive keyword-triage sweep on/off. ON starts (or resumes from the saved cursor) a run across ALL head-scope keywords using the active model; OFF pauses it at the next safe point between batches -- the partial log and cursor are kept, so toggling ON again continues."
index.html,290,"Toggle the progressive source-tag sweep on/off. ON starts (or resumes from the saved cursor) a run across every source with sufficient evidence using the active model; OFF pauses it at the next safe point between pages -- the partial log and cursor are kept, so toggling ON again continues."
index.html,295,"Open Omniscience runs local inference through Ollama or vLLM — vLLM is preferred automatically on a GPU-equipped machine (concurrent requests; a heavier install), Ollama is kept for CPU-only machines and is never dropped. The active backend and the reason are shown below, never a silent switch."
index.html,304,"Entities are standalone ALL-CAPS acronyms (WHO, NATO, USA); a multi-word proper name is a topical TERM, not an entity. Rows here show variants the engine already grouped — a shared lemma/plural, or a cross-language group (USA / США / EUA). To correct a grouping (merge or split), use Settings → Keywords."
index.html,309,"Fill each source's TYPE (newspaper / broadcaster / news agency / scientific journal / …) from Wikidata, verified against the source's own domain. This one goes ONLINE through the guarded transport — it asks for network consent first and is refused in airplane mode. Bounded per click; click again to continue."
index.html,315,Builds the keyword-daily rollup in-memory over your corpus and times the windowed keyword aggregation both ways — the live mention scan (the Insights/trends freeze) vs summing the rollup — with the speedup and a parity check. Read-only; the win shows only at real corpus size. Takes a few seconds on a large corpus.
index.html,318,"Every diagnostics log in one archive — one click instead of nine. Runs as a BACKGROUND job (so it never freezes the app on a large corpus, unlike the old synchronous build), shows live progress, and downloads when ready. Carries the bounded keyword-log digest (the full keyword dump has its own 'All keywords' button)."
index.html,320,"Deduce each source's topic tags from the keywords it publishes in your corpus and add them to the source's tags — local, no network, additive (never overwrites curated tags). This also runs automatically in the background; the button forces it now. The networked Wikidata source-type pass is a separate consented action."
index.html,327,"Run the IR retrieval-eval over a human-judged gold set (queries with documents graded 0/1/2; template at configs/ir_eval/gold_set.example.json). Leave the weight boxes empty to score the current BM25F ranking; fill BOTH to A/B two (title,body) weight sets via the conflation delta. Measure-before-trust; metrics only, no score."
index.html,334,"Toggle the progressive who/where/when extraction sweep on/off. ON starts (or resumes from the saved cursor) a run across every article whose language cleared the perception-eval harness using the active model; OFF pauses it at the next safe point between batches -- the partial log and cursor are kept, so toggling ON again continues."
index.html,336,"Custody is an action on content: export a signed, tamper-evident copy of an article or corpus, and verify one. Auto-logging on ingest is on by default; OpenTimestamps/Bitcoin anchoring stays off by default (it would reveal your IP and timing). The cryptographic detail (post-quantum signatures, Merkle proofs) is explained in the panel."
index.html,343,"Preview what lemmatization (OO_FAMILY_LEMMA, ON by default) MERGES among your top keywords (study/studied -> study). Each group is tagged by whether the plural rule already covers it, so you see the true delta. Review for precision; a wrong merge is a _MISLEMMA_DENYLIST note, or set OO_FAMILY_LEMMA=0 to opt out entirely. Read-only, no score."
index.html,346,"Sources UNDER-covering a topic that is big across the rest of the corpus (the bury half of card #4). Every (source, broad topic) pair is Benjamini-Hochberg FDR-corrected so screening thousands of pairs cannot manufacture a finding; the innocent explanation (specialization) is stated. 'Absence of a flag is not absence of manipulation.' No score."
index.html,353,"DISCOVER new sources (news orgs / institutions with an official website) from Wikidata for the countries you list, and add them DISABLED for review — nothing is scraped until you enable it in Settings → Sources. Goes ONLINE through the guarded transport (consent-gated, airplane-refused). Tip: pick under-represented countries to keep coverage balanced."
index.html,386,"Run the P0 data-safety acceptance checks against your live corpus: back up (streaming, bounded RAM), verify (signed manifest + volume checksums), probe a staged restore + dry-run merge preview (never touches the live corpus), and read the unlock + collector instrumentation. One report, a verdict per check, no score, never a fabricated pass. This is the run the v0.2.0 tag is gated on."
index.html,387,"Why did the app crash / why was unlock slow / what is filling the disk — the app's own records: the previous session's clean-or-unclean-end verdict, the last unlock's phase timings and -wal size, and the data folder's on-disk inventory with any orphaned backup/restore staging (a leftover decrypted corpus snapshot is flagged). Local only; sizes and app-owned names, never file contents."
index.html,421,"Several families — or cross-language groups (one concept across many languages, e.g. election / élection / wahl) — gathered under one super-group (e.g. Russia–Ukraine war, over Russia, Ukraine, Putin, sanctions…), with real statistics: a dominance disclosure, a windowed trend, and overlap between super-groups. Creating a super-group, adding members, and deleting all live in Settings → Keywords — this view is the data."
index.html,438,"How each source APPROACHES this corpus, side by side — volume (exact article count), tone (VADER mean + label), timing (first→last publication span) and that outlet's distinctive emphasised terms. A DESCRIPTIVE comparison of how sources DIFFER, never a ranking, a winner or a credibility judgement: no composite score. Tone is VADER (English-lexicon, unreliable for non-English coverage). With a single source there is nothing to compare."
index.html,449,"Irreversibly destroys the corpus's encryption key (crypto-erase) and removes the data, keys and caches on this machine — the encrypted store becomes permanently unrecoverable at any size, then the app must be restarted. This cannot be undone. You'll be offered an optional full free-space overwrite afterward as defence-in-depth (that pass alone does not guarantee erasure on SSD/flash/copy-on-write disks — the real guarantee is the destroyed key)."
index.html,465,"The IR retrieval-eval scores the live search against a human-judged gold set — queries with documents graded 0/1/2 (copy the template at configs/ir_eval/gold_set.example.json and fill in your own article ids). With both weight boxes filled it A/Bs two BM25F (title,body) weight sets and reports the recall / precision / nDCG change separately, so the ranking default is chosen on evidence rather than guessed. Per-language, n always stated, never a composite score."
index.html,468,"Every source is judged for extraction validity — real prose vs a broken/junk scrape — before it joins regular collection: a categorical stamp (qualified · disqualified · not yet judged), never a quality score. A few candidates are judged automatically per online collection round; this runs the SAME judging in bulk to catch up a large backlog. Networked (each judgment is a small trial fetch through your transport) — asks for consent first, refused in airplane mode."
index.html,482,"Sweeps EVERY source with sufficient evidence, sending its top keywords to the active local model (Settings → AI), which picks ONLY from your corpus's existing tag vocabulary (or 'none') -- canaries + echo-back + closed-vocabulary rejection on every batch. A source below the evidence floor is skipped, never guessed. EXPORT-ONLY: appends a dated JSONL log; Source.tags is never touched. Toggle ON to start (or resume) the sweep; toggle OFF pauses it -- progress is saved either way."
index.html,485,"Extracts who (persons/organisations), where, and when from each article's text via the active local model -- stored ONLY as labelled ""AI-derived · unreliable"" candidates, never the trusted rule-based extractors. GATED by a live run of the perception-eval harness against the active model: a language that fails it (too much hallucination, or never tested) is skipped, shown below with why. Toggle ON to start (or resume) the sweep; toggle OFF pauses it -- progress is saved either way."
index.html,507,"Drives the REAL backup engine against your live corpus, verifies it, probes a staged restore with a dry-run merge preview (your live corpus is never replaced or deleted — the restore preview never writes it, and the backup's only touch is a standard WAL checkpoint), and reads the unlock + collector instrumentation — one report, a verdict per check, no composite score. Choose a SEPARATE empty directory (ideally an external drive) as the destination. Full procedure: docs/product/P0_VALIDATION_RUNBOOK.md."
index.html,509,"Sweeps EVERY head-scope keyword, in bounded batches, through the active local model (Settings → AI) for a junk/content verdict + kind (person/org/place/other) -- canaries + echo-back validation on every batch. EXPORT-ONLY: appends a dated JSONL log, never the trusted keyword index. A Claude session verifies a sample before any stoplist/kind-override PR. Toggle ON to start (or resume) the sweep; toggle OFF pauses it -- progress is saved either way, so turning it back on continues instead of starting over."
index.html,518,"These are the read-only exploration surfaces behind the statistical manipulation-pattern signals. Every one delegates to a pure analytics module and returns its method + caveat verbatim: distinct SOURCES (not article count) measure breadth, the innocent-twin explanation rides every result, and the whole family of comparisons is multiple-testing corrected so many tests cannot manufacture a finding. They name a SHAPE, never a verdict — a microscope, not a detector. Counts + statistics only, never a composite score."
index.html,525,"TEMPORARY, removable diagnostic. ONE .zip with everything an analyst needs to decide, per source, whether to EXCLUDE it / OPTIMIZE the extractor / KEEP it: per-article keyword-stat outliers, per-source top-12 keyword fingerprints + furniture share, and a text sample from three independent selectors (a fixed-seed random control + the stat outliers + furniture-flagged sources). Read-only, EXPORT-ONLY, counts-only, no score; private newsletter bodies gated (env). Whole-corpus counts; text heads for the sampled subset only."
index.html,529,"Re-indexing recomputes keywords, dates/places/entities and sentiment for every article with the current engine — use it after an upgrade to refresh older articles (for example to drain stale CSS/markup keywords from newsletters imported before the markup-stripping fix). Heavy on a large corpus; it runs as a background job you can pause and resume from the task manager — it keeps going if you close this tab and continues where it left off (no more restarting from the beginning). Summaries and translations are left untouched."
index.html,570,"The same Wikidata discovery over EVERY country (~250), as a long background job — one country at a time through the guarded transport, every find added DISABLED for review, nothing scraped until you enable it. RESUMABLE: progress persists per country, so cancelling (task manager), airplane mode or a restart continues where it stopped instead of re-querying the world. Consent-gated, airplane-refused. This also advances AUTOMATICALLY a few countries per online collection pass (scheduler setting world_discovery_per_pass, 0 disables); this button just runs it all now."
index.html,622,"Some articles arrive with no language tag, and the fast offline detector cannot always classify them (short text, low confidence, or a language it does not cover). This OPT-IN pass asks the local model to identify the language of those still-unknown articles. It is AI-derived and unreliable — a THIRD, clearly-labelled provenance class shown inline in the article view. It NEVER overwrites the source-asserted or offline-deduced language, and a garbage or unclear answer stores nothing. It runs as a cancellable background job (watch it in the task manager), never during scraping, and only on this machine's local model."
index.html,660,"Rebuilds your corpus at each candidate page size (encrypted stays encrypted with the same passphrase, so the codec stays in the measurement), self-verifies every rebuilt store's settings, runs the identical workload on each (point lookups · a 30-day index window · sequential content bands, cold-ish and warm), then deletes the rebuilds. Read-only on your live corpus; needs ~1.15× the corpus size free in the staging directory (one rebuild at a time). The rebuild time it reports is also the measured cost of the real store migration at your corpus size. Numbers side by side — no winner is declared; run it on a small and a large corpus and compare the logs."
investigate.html,3,The
investigate.html,3,one
investigate.html,4,news
investigate.html,6,hidden
investigate.html,10,main app ↗
investigate.html,16,Open Omniscience
investigate.html,30,Investigate — Open Omniscience
investigate.html,44,Open Omniscience · opened from a Home Lead ·
reader.js,13,Summarize now
reader.js,13,Translate now
reader.js,16,Working locally…
reader.js,32,Keyword mindmap for this article
taskmanager.html,19,Task manager · FOOS
taskmanager.html,85,Airplane mode — filled means offline: every new network request is refused instantly.
taskmanager.html,98,This window updates on its own. Collection runs continuously while online; airplane mode stops it.
unlock.html,25,Open Omniscience — unlock
