row,n,severity,verdict,title,step_ids,repro,expected,actual,evidence,root_cause,suggested_fix,walk_severity
I,3,P2,confirmed,"Reopening the Import dialog is not a fresh page: the previous run's header, stage rows, statements and per-backup rows re-render under 'Last import' (R1/Q201)",I7 I9 I1,"Finish any import, close the dialog (or restart the app), and reopen Settings → Data & backup → Import….",One quiet line 'Last import · <date> · N articles · open report' and nothing else (index.html comment at #ux-imp-last; Q201 = a).,"Beneath the line: '4/4 imported · 14s', the four numbered stage rows, the three statements and four per-backup 'Done' rows. After a restart it also shows row 3 'not started', and after an interrupted run the red 'interrupted … start it again.' line.","I-I7-reopen-en.png, I-I9-import-after-restart-en.png, I-I13b-after-relaunch-en.png; src/static/app-backup.js:1697-1705 (_uxImReattach renders any saved run); POST /api/backup/import-queue/clear has no frontend caller.","src/static/app-backup.js:1697-1703: _uxImReattach renders ANY persisted run that has items (`if (!st || !(st.items||[]).length) return; _uxImRenderQueue(st);`), not only a running one. The server keeps the finished run in the queue file (import_queue.py _save/_load_persisted), and POST /api/backup/import-queue/clear (backup_v2.py:750, 'so the dialog can start clean') has no frontend caller.","In _uxImReattach, call _uxImRenderQueue and _uxImWatchQueue only when st.state === 'running'. For any terminal state, hide #ux-imp-queue and leave only the quiet line. Alternatively, clear a finished run server-side when the dialog opens. An interrupted run with a genuinely interrupted item can keep one quiet line of its own.",P2
I,4,P2,confirmed,'✓ Safe to close or update the app' is shown before the run is recorded finished; a stop during stage 3 boots into 'interrupted … start it again' and stage 3 is never resumed (Q203),I13,"Import one backup. The moment its row reads Done while stage 3 (search-index merge) still runs, which is when both ✓ lines are due, stop the app (SIGKILL used here; stage 3 was sub-second). Relaunch, unlock, open Import….","After '✓ Safe to close or update the app', closing costs nothing and nothing asks to redo the import; stages 3-4 resume on the next boot.","Red 'This import was interrupted when the app stopped. It cannot resume (the passphrase is never stored) — start it again.' under '1/1 imported · 27s', and row 3 'Merge the search index — not started', although the backup's 1,200 articles were committed (history row 06:18 · restore · 1,200 articles). Stage 3 is not resumed. Only the re-index auto-resumed.","I-I13b-after-relaunch-en.png, events.jsonl (I13b_kill: items done, search_index running, live 'merging the search index after the import'; I13b_dialog_after_relaunch); src/static/app-backup.js:1533-1551 (✓ lines keyed on item state), src/backup/import_queue.py:634-647 (run saved done only after _tune_after_run), 345-352 (running → interrupted on boot).","src/backup/import_queue.py:634-647: _drive calls _tune_after_run() (stage 3) while the persisted state is still 'running', and saves the terminal state only afterwards. _load_persisted (:345-349) maps any 'running' state to 'interrupted' without checking whether every item had already committed. app-backup.js:1420 shows the 'start it again' line from st.state alone, while :1553-1560 grants the ✓ lines from item states. Nothing on boot re-runs optimize_after_bulk.","In _load_persisted, when state == 'running' and no item is running, staged or queued (all done/skipped/error), restore the run as 'done' with tuning not done instead of 'interrupted', and schedule optimize_after_bulk once off the startup path (or run it at the next run's end). On the UI side, show the 'start it again' line only when some item's state is 'interrupted'.",P2
I,5,P2,confirmed,The dialog's checkpoint sentence ignores the stored 'Backups per save point' until a run starts,I12,"Settings → Data & backup → set 'Backups per save point' to 1 and tab out ('Preferences saved.'), then open Import….",The sentence never disagrees with the K the next run will use: 'Every backup is verified and written to your corpus as soon as it finishes.',The sentence still reads 'Verified and written to your corpus once every 3 backups — …'. /api/settings import_checkpoint_k = 1 but /import-queue/status checkpoint.k = 3.,"I-I12-k1-dialog-en.png, events.jsonl I12_k1; src/static/app-backup.js:830-843; src/backup/import_queue.py:303 (K initialised to 3), 537 (re-read only at run start), 1203.","src/backup/import_queue.py:303 initialises _checkpoint_k to CHECKPOINT_K_DEFAULT. It is re-resolved only at run start (:537, `self._checkpoint_k = import_checkpoint_k()`), and status() reports that cached value (:1203). src/static/app-backup.js:830-843 (_uxImCheckpointNote) renders status().checkpoint.k.","In status(), report `import_checkpoint_k()` whenever no run is in flight (state != 'running') and keep the captured K during a run. Alternatively, have _uxImCheckpointNote read the same resolution the next run will use.",P2
I,6,P2,confirmed,"End-of-run result block over-counts the re-index backlog ('8,400 article(s) still to index' after a 4,800-article import)",I7,"Import four distinct 1,200-article uncertified backups at K = 3 with the dialog open until the run ends.","The indexing caveat states the real pending count (4,800, the drain's own total).","'Indexing continues in the background: 8,400 article(s) still to index.' The block sums each committed item's whole-backlog snapshot (3,600 at the group save + 4,800 at backup 4).",events.jsonl I7_all_done (summary) vs I8_samples (total 4800); src/static/app-backup.js:2232-2241 (pend += r.articles_pending per item).,"src/static/app-backup.js:2232-2237 sums `r.articles_pending` across items. src/backup/volume_job.py:95-110 (hand_off_reindex) fills that field from reindex_backlog(), the WHOLE corpus backlog at that moment rather than this item's contribution, so each committed item's snapshot already includes the earlier ones.","Do not sum snapshots of one quantity. Use the latest committed item's value (or the max), or better, read /reindex-backlog/resume/status once when rendering the block. Keep the 'could not be read' branch when none is readable.",P2
I,7,P2,confirmed,Held backups leave no persisted report; history and the 'Last import' line show only per-report counts of a multi-backup run,I10 I7,"Import four distinct backups at K = 3, reopen the dialog, then open Settings → Data & backup → Import history.","The persisted record, which R1 makes the only home of the detail, accounts for what each backup brought, and the Last import line says what the import added.","Only two history rows (backups 3 and 4), each '1,200 articles'. Backup 3's row omits the 2,400 articles of backups 1–2 that its save committed, and 'Last import' reads '1,200 articles' for a 4,800-article import. With cumulative backups (run 1) it read '0 articles' for a run that grew the corpus by 933. The report also names no backup folder/path, and both reports are headed '(oo-backup-3)'.","I-I10-history-en.png, I-I10-report-en.png, run1/I-I7-reopen-en.png; src/backup/merge.py:6276-6292 vs 6700-6706 (report written only on the commit path).","src/backup/merge.py:6276-6292: on hold_after_merge, run_restore returns the report before the commit path, and persist_import_report runs only at :6700-6706 on the commit path, with that item's own plan. src/backup/import_queue.py:822 (_commit_group) commits the held items without persisting a report for them. Nothing adds the item path to the report.","In _commit_group (or _after_item when a group commits), persist each held item's report once its checkpoint lands, marked committed-at-checkpoint, and add the source path/label to every persisted report. Alternatively, persist one run-level report that aggregates the items, and have the 'Last import' line read the run total.",P2
I,8,P3,confirmed,Verify pressed during a running import hijacks the one poll chain and freezes the run's rows,I13,"Start a single-backup import; while its row reads 'Running · … stage 1 of 4', press Verify once and watch for 30 s.","Q206/R2: no competing messages, and the run's rows keep updating.","POST /v2/volumes/verify 409. 'Verifying…' plus 'Verify: Merging (additive)… / Committing… · phase 11 of 18' then describe the import's own restore. The header and rows froze at '0/1 imported', 'Running · 0s · stage 1 of 4' for 30 s after the import had finished, and the result was 'No verification report was returned.'. Close/reopen restored the rows.","I-I13a-verify-pressed-en.png, I-I13a-after30s-en.png, i13a_samples.jsonl; src/static/app-backup.js:900-904 + 1137-1147 (409 'running' treated as a started verify), 1167-1178.","src/static/app-backup.js:1137-1146 (_uxImStartGuarded) treats ANY live volumes job as proof that its own start landed. After the 409 it reads /v2/volumes/status, finds the import's restore job 'running' and falls through, so _uxImVerify (:896-900) calls _uxImWatchVerify (:1167-1178). That switches the single chain's subject away from 'queue', and nothing re-arms the queue watch when the verify promise settles.","Check the job's own kind or op in _uxImStartGuarded (accept only a live verify job) so a 409 from a running restore surfaces as 'an import is running'. Also disable the Verify button while the queue is running, and re-arm _uxImWatchQueue after a verify settles if the queue is still running.",P3
I,9,P2,confirmed,Staged header line re-animates every second and overlaps the 'N/4 imported' header (R2 blink/overlap),I5 I6,Import ≥ 2 backups at K = 3 and watch the dialog header while a backup reads 'Merged — not yet saved'.,No blinking or overlapping status text (R2).,"The 'Merged, not yet saved: N — …' line is an inline <span class=""note"">, whose .note rule gives it 11px padding, background, shadow and a 0.22 s slide-in animation. The header HTML includes the elapsed seconds, so it is rewritten each 1 s tick and the animation replays every second (animationstart at 6255 and 7271 ms). The box visibly covers the '0/4 imported · 7s' line.","I-I6-staged-en.png (crop-I6-header.png), events.jsonl I7_close_before_end/I7_toasts_run3 anims; src/static/app-backup.js:1383-1390 (stagedLine span.note) and 1416-1421 (note rewritten when its HTML changes); src/static/app.css:1391-1393 (.note padding/shadow/animation).","src/static/app-backup.js:1386-1391 wraps the staged line (and :1420, the interrupted line) in an inline <span class=""note"">. The .note rule at src/static/app.css:1391-1393 is the toast style (padding, background, shadow, `animation:slidein .22s`). noteHtml includes the elapsed seconds (:1414), so the whole header's innerHTML is rewritten every 1 s tick (:1421) and the animated span is recreated each time.","Render these lines as plain block text (for example a <div class=""hint""> or card-caveat, without the toast .note class or its animation). Also move the elapsed seconds into its own text node patched separately, so the rest of the header is not rewritten every tick.",P3
I,10,P3,confirmed,Row 3 reads 'not started' after a restart although the search-index merge ran,I9,"Finish an import, restart the app, unlock, open Import….",Row 3 reads 'done' for a run that completed stage 3.,'3. Merge the search index — not started' beside '4/4 imported' and two ✓ lines.,"I-I9-import-after-restart-en.png; src/backup/import_queue.py:293, 305-312 (tuning_done not persisted), 1136-1144.","src/backup/import_queue.py:293: _tuning_done is memory-only. It is absent from the _save payload (:315-320) and never restored in _load_persisted, so after a boot _stage_rows (:1142-1146) reports stage 3 'pending'. app-backup.js:1484 renders that as 'not started'. Stage 3's row also ignores run_state, so an ended run can never read as ended there.","Persist tuning_done (and `tuned`) in the queue file and restore them. On load, treat a run saved as 'done' as tuning done. This becomes moot if the fresh-page fix stops rendering finished runs, but the status payload should still be truthful.",P3
I,11,P3,confirmed,Per-backup state words are untranslated (Done/Waiting/Skipped/Interrupted/Cancelled),I11,"Switch the UI to fr, ar or zh and open Import… after an import.",Each backup's outcome is in the UI language.,"'… — Done · 4s · étape 2 sur 4' (fr), '… — Done · … المرحلة 2 من 4' (ar), '… — Done · … 第 2 步，共 4 步' (zh). None of the keys Done/Waiting/Skipped/Interrupted/Cancelled exist in en/fr/ar/zh.json ('Running' and 'Merged — not yet saved' do).","I-I11-dialog-fr.png, I-I11-dialog-ar.png, I-I11-dialog-zh.png; src/static/app-backup.js:1303-1316 (labels through t(variable)); src/static/locales/{fr,ar,zh}.json.","src/static/app-backup.js:1303-1307 (_UX_IM_STATE_LABEL values) is rendered via `t(_UX_IM_STATE_LABEL[it.state] || it.state)` at :1429. Five of its values were never added to src/static/locales/*.json, and because the lookup is dynamic, scripts/i18n_report.py cannot see them.","Add the five keys ×12 locales, and make the map's values extractor-visible (for example wrap each literal in a no-op marker the i18n report scans) so a new state cannot slip through again.",P3
I,12,P3,confirmed,Arabic (RTL): backup folder labels are bidi-scrambled in the per-backup rows,I11,Switch to العربية and open Import… with a run listed.,"Each row shows its folder name intact, e.g. '202609261808_OpenOmniscience_Backup_2'.",Rendered as 'OpenOmniscience_Backup_2 — Done · 4s_202609261808': the digit prefix is detached and drawn after the state. The label is not direction-isolated.,I-I11-dialog-ar.png; src/static/app-backup.js:1446-1447 (label in <b> without dir=auto/bdi).,"src/static/app-backup.js:1446 puts the Latin/digit folder label in a bare <b> inside an RTL paragraph without direction isolation. Under the bidi rules the leading European-number run takes the RTL embedding, and the Latin run is reordered around it.","Wrap the label in <bdi> (or add dir=""auto"" / unicode-bidi:isolate), as in `<b><bdi>${label}</bdi></b>`.",P3
I,13,P3,confirmed,375 px: the Import dialog's folder field collapses to about 44 px and backup labels are clipped,I-375,At 375 px wide open Settings → Data & backup → Import… after an import.,No clipped text; the folder field usable.,"The page has no horizontal scroll (0). Inside the dialog, #ux-imp-src shows only '/m' beside Browse/Scan/Verify, and long backup labels overflow the dialog by 46 px, cut at its right edge.",I-375-dialog-en.png; events.jsonl W375 (dlgScroll 46).,"src/static/index.html:3259: the input uses style=""flex:2"" with no min-width inside a .row. .row wraps (app.css:439), but a shrinkable input never forces a wrap. The long unbroken folder labels at app-backup.js:1446 have no overflow-wrap.","Give #ux-imp-src a usable min-width (for example `flex:1 1 12em;min-width:12em`) so the buttons wrap below it, and add `overflow-wrap:anywhere` to the queue-row labels.",P3
I,14,P3,confirmed,A finished backup's row keeps '· stage 2 of 4',I6 I7,Any K = 3 import; read the per-backup rows after they turn Done.,A Done row does not read as mid-way through the stages.,'202609261808_OpenOmniscience_Backup_2 — Done · 4s · stage 2 of 4' for every finished backup.,I-I7-reopen-en.png; src/static/app-backup.js:1442-1444 (stage suffix rendered regardless of state).,"src/static/app-backup.js:1442-1444 renders the stage suffix whenever `it.stage_applicable && it.stage`, whatever the item's state.","Render the suffix only for items that are 'running' or 'staged', or change its wording for finished items (for example 'stages 1–2 done'; a new string needs ×12 locales).",P3
I,15,P2,confirmed,"First launch requests /api/system/data-location and gets 503, so the data-location step can never be offered (outside row I)",I2,Boot a fresh data dir and accept the legal step on /unlock.,"The data-location probe answers during the fresh state, or is not requested.","503 {""locked"": true} on both throwaways. The path is not on ALLOWED_WHILE_LOCKED and app_is_locked() covers 'fresh', so the step falls through to the passphrase. Here OO_DATA_DIR was set, so skipping was correct, but the probe cannot succeed on any fresh install. To confirm in its own row.","events.jsonl http_error (8814 and 8815); src/api/unlock.py:76-92, src/api/main.py:751-762, src/static/unlock.html:344.","src/api/unlock.py:76-92: ALLOWED_WHILE_LOCKED lacks '/api/system/data-location'. app_is_locked() (:71-72) counts 'fresh' as locked, so the gate in src/api/main.py:755-763 answers 503 for it (and for POST /data-location/check).","Add '/api/system/data-location' (covering /check and the POST) to ALLOWED_WHILE_LOCKED. The endpoints already refuse any state other than fresh themselves. Add a test that goes through src.api.main.app's middleware in the fresh state, anchored to ALLOWED_WHILE_LOCKED rather than the live route table.",P3
